influence,beta,gamma,dt,avgI,cost(s),,,influence,beta,gamma,dt
0.5,0.2,0.1,0.001,0.779349,0.701417,,,,,,
0.5,0.2,0.2,0.001,0.779348,0.692021,,,,,,
0.5,0.2,0.4,0.001,0.779347,0.693749,,,,,,
0.3,0.2,0.001,0.001,0.773549,0.697194,,,,,,
0.3,0.2,0.005,0.001,0.773549,0.702231,,,,,,
0.3,0.2,0.05,0.001,0.773548,0.691927,,,,,,
0.3,0.2,0.01,0.001,0.773548,0.697246,,,,,,
0.3,0.2,0.1,0.001,0.773547,0.693057,,,,,,
0.3,0.2,0.2,0.001,0.773545,0.700746,,,,,,
0.3,0.2,0.4,0.001,0.773542,0.695085,,,,,,
0.1,0.2,0.001,0.001,0.767745,0.670684,,,,,,
0.1,0.2,0.01,0.001,0.767745,0.690587,,,,,,
0.1,0.2,0.005,0.001,0.767745,0.694645,,,,,,
0.1,0.2,0.05,0.001,0.767743,0.695898,,,,,,
0.1,0.2,0.1,0.001,0.767742,0.697088,,,,,,
0.1,0.2,0.2,0.001,0.767739,0.687013,,,,,,
0.1,0.2,0.4,0.001,0.767734,0.694939,,,,,,
0.05,0.2,0.005,0.001,0.766293,0.667779,,,,,,
0.05,0.2,0.01,0.001,0.766293,0.691965,,,,,,
0.05,0.2,0.001,0.001,0.766293,0.702852,,,,,,
0.05,0.2,0.05,0.001,0.766292,0.695977,,,,,,
0.05,0.2,0.1,0.001,0.76629,0.691048,,,,,,
0.05,0.2,0.2,0.001,0.766287,0.693773,,,,,,
0.05,0.2,0.4,0.001,0.766281,0.693746,,,,,,
0.5,0.05,0.001,0.005,0.765118,0.136205,,,,,,
0.5,0.05,0.005,0.005,0.765118,0.142902,,,,,,
0.5,0.05,0.01,0.005,0.765117,0.138915,,,,,,
0.5,0.05,0.05,0.005,0.765114,0.135591,,,,,,
0.5,0.05,0.1,0.005,0.765109,0.132208,,,,,,
0.5,0.05,0.2,0.005,0.7651,0.137917,,,,,,
0.5,0.05,0.4,0.005,0.765081,0.139561,,,,,,
0.3,0.05,0.001,0.005,0.764975,0.141802,,,,,,
0.3,0.05,0.005,0.005,0.764975,0.143661,,,,,,
0.3,0.05,0.01,0.005,0.764974,0.141783,,,,,,
0.3,0.05,0.05,0.005,0.764969,0.136269,,,,,,
0.3,0.05,0.1,0.005,0.764963,0.137811,,,,,,
0.3,0.05,0.2,0.005,0.764951,0.134616,,,,,,
0.3,0.05,0.4,0.005,0.764927,0.136008,,,,,,
0.1,0.05,0.001,0.005,0.75816,0.140323,,,,,,
0.1,0.05,0.005,0.005,0.758159,0.139989,,,,,,
0.1,0.05,0.01,0.005,0.758159,0.141348,,,,,,
0.1,0.05,0.05,0.005,0.758155,0.133907,,,,,,
0.1,0.05,0.1,0.005,0.75815,0.140539,,,,,,
0.1,0.05,0.2,0.005,0.758141,0.137898,,,,,,
0.1,0.05,0.4,0.005,0.758122,0.133921,,,,,,
0.01,0.2,0.001,0.001,0.756852,0.686553,,,,,,
0.01,0.2,0.005,0.001,0.756852,0.688304,,,,,,
0.01,0.2,0.01,0.001,0.756852,0.702573,,,,,,
0.01,0.2,0.05,0.001,0.75685,0.697919,,,,,,
0.01,0.2,0.1,0.001,0.756849,0.692521,,,,,,
0.01,0.2,0.2,0.001,0.756846,0.700744,,,,,,
0.01,0.2,0.4,0.001,0.756841,0.702277,,,,,,
0.05,0.05,0.001,0.005,0.752531,0.144568,,,,,,
0.05,0.05,0.01,0.005,0.75253,0.139679,,,,,,
0.05,0.05,0.005,0.005,0.75253,0.140552,,,,,,
0.05,0.05,0.05,0.005,0.752524,0.135072,,,,,,
0.05,0.05,0.1,0.005,0.752518,0.142108,,,,,,
0.05,0.05,0.2,0.005,0.752505,0.139573,,,,,,
0.05,0.05,0.4,0.005,0.75248,0.141859,,,,,,
0.01,0.05,0.001,0.005,0.748027,0.141181,,,,,,
0.01,0.05,0.005,0.005,0.748027,0.14256,,,,,,
0.01,0.05,0.01,0.005,0.748026,0.140207,,,,,,
0.01,0.05,0.05,0.005,0.74802,0.134378,,,,,,
0.01,0.05,0.1,0.005,0.748012,0.147436,,,,,,
0.01,0.05,0.2,0.005,0.747996,0.141636,,,,,,
0.01,0.05,0.4,0.005,0.747965,0.138466,,,,,,
0.5,0.4,0.001,0.001,0.710595,0.68,,,,,,
0.5,0.4,0.01,0.001,0.710595,0.701099,,,,,,
0.5,0.4,0.005,0.001,0.710595,0.703641,,,,,,
0.5,0.4,0.05,0.001,0.710593,0.693621,,,,,,
0.5,0.4,0.1,0.001,0.710592,0.683902,,,,,,
0.5,0.4,0.2,0.001,0.710589,0.689737,,,,,,
0.5,0.4,0.4,0.001,0.710582,0.68572,,,,,,
0.3,0.4,0.001,0.001,0.705628,0.681084,,,,,,
0.3,0.4,0.005,0.001,0.705628,0.687495,,,,,,
0.3,0.4,0.01,0.001,0.705628,0.697163,,,,,,
0.3,0.4,0.1,0.001,0.705627,0.6718,,,,,,
0.3,0.4,0.05,0.001,0.705627,0.696417,,,,,,
0.3,0.4,0.2,0.001,0.705625,0.69342,,,,,,
0.3,0.4,0.4,0.001,0.705623,0.689206,,,,,,
0.1,0.4,0.01,0.001,0.693198,0.700565,,,,,,
0.1,0.4,0.005,0.001,0.693198,0.702686,,,,,,
0.1,0.4,0.05,0.001,0.693198,0.71161,,,,,,
0.1,0.4,0.001,0.001,0.693198,0.734938,,,,,,
0.1,0.4,0.1,0.001,0.693197,0.681632,,,,,,
0.1,0.4,0.2,0.001,0.693196,0.696376,,,,,,
0.1,0.4,0.4,0.001,0.693193,0.672861,,,,,,
0.05,0.4,0.005,0.001,0.684212,0.703057,,,,,,
0.05,0.4,0.001,0.001,0.684212,0.706538,,,,,,
0.05,0.4,0.01,0.001,0.684212,0.706577,,,,,,
0.05,0.4,0.05,0.001,0.684211,0.713016,,,,,,
0.05,0.4,0.1,0.001,0.68421,0.686905,,,,,,
0.05,0.4,0.2,0.001,0.684208,0.666054,,,,,,
0.05,0.4,0.4,0.001,0.684203,0.689804,,,,,,
0.01,0.4,0.01,0.001,0.669605,0.662532,,,,,,
0.01,0.4,0.005,0.001,0.669605,0.695539,,,,,,
0.01,0.4,0.001,0.001,0.669605,0.703365,,,,,,
0.01,0.4,0.05,0.001,0.669604,0.69843,,,,,,
0.01,0.4,0.1,0.001,0.669603,0.695824,,,,,,
0.01,0.4,0.2,0.001,0.6696,0.669539,,,,,,
0.01,0.4,0.4,0.001,0.669595,0.679257,,,,,,
0.3,0.05,0.001,0.01,0.56766,0.0692395,,,,,,
0.3,0.1,0.001,0.005,0.56766,0.135874,,,,,,
0.3,0.1,0.005,0.005,0.567659,0.13588,,,,,,
0.3,0.05,0.005,0.01,0.567658,0.072027,,,,,,
0.3,0.1,0.01,0.005,0.567658,0.138789,,,,,,
0.3,0.005,0.001,0.1,0.567657,0.00696154,,,,,,
0.3,0.05,0.01,0.01,0.567657,0.0708002,,,,,,
0.3,0.1,0.05,0.005,0.567652,0.138916,,,,,,
0.3,0.005,0.005,0.1,0.567644,0.00696465,,,,,,
0.3,0.05,0.05,0.01,0.567644,0.071971,,,,,,
0.3,0.1,0.1,0.005,0.567644,0.135675,,,,,,
0.3,0.005,0.01,0.1,0.567628,0.00754639,,,,,,
0.3,0.05,0.1,0.01,0.567628,0.0689761,,,,,,
0.3,0.1,0.2,0.005,0.567628,0.145606,,,,,,
0.3,0.05,0.2,0.01,0.567596,0.0692509,,,,,,
0.3,0.1,0.4,0.005,0.567596,0.140929,,,,,,
0.3,0.05,0.4,0.01,0.567532,0.071019,,,,,,
0.3,0.005,0.05,0.1,0.5675,0.00701621,,,,,,
0.5,0.05,0.001,0.01,0.567489,0.0766347,,,,,,
0.5,0.1,0.001,0.005,0.567489,0.144525,,,,,,
0.5,0.1,0.005,0.005,0.567488,0.1409,,,,,,
0.5,0.05,0.005,0.01,0.567487,0.0700339,,,,,,
0.5,0.1,0.01,0.005,0.567487,0.139508,,,,,,
0.5,0.005,0.001,0.1,0.567486,0.00703945,,,,,,
0.5,0.05,0.01,0.01,0.567486,0.071609,,,,,,
0.5,0.1,0.05,0.005,0.567481,0.136552,,,,,,
0.5,0.005,0.005,0.1,0.567473,0.00743576,,,,,,
0.5,0.05,0.05,0.01,0.567473,0.0705208,,,,,,
0.5,0.1,0.1,0.005,0.567473,0.139187,,,,,,
0.5,0.005,0.01,0.1,0.567457,0.00761234,,,,,,
0.5,0.05,0.1,0.01,0.567457,0.06847,,,,,,
0.5,0.1,0.2,0.005,0.567457,0.136419,,,,,,
0.5,0.05,0.2,0.01,0.567425,0.0731755,,,,,,
0.5,0.1,0.4,0.005,0.567425,0.140789,,,,,,
0.5,0.05,0.4,0.01,0.567361,0.0710697,,,,,,
0.3,0.005,0.1,0.1,0.567341,0.0071931,,,,,,
0.5,0.005,0.05,0.1,0.567329,0.00884957,,,,,,
0.5,0.005,0.1,0.1,0.567171,0.00768167,,,,,,
0.3,0.005,0.2,0.1,0.567018,0.00698423,,,,,,
0.5,0.005,0.2,0.1,0.566848,0.00727156,,,,,,
0.3,0.005,0.4,0.1,0.566042,0.00691459,,,,,,
0.5,0.005,0.4,0.1,0.565873,0.00737393,,,,,,
0.1,0.05,0.001,0.01,0.564775,0.0718486,,,,,,
0.1,0.1,0.001,0.005,0.564775,0.149014,,,,,,
0.1,0.05,0.005,0.01,0.564774,0.0727672,,,,,,
0.1,0.1,0.01,0.005,0.564774,0.137491,,,,,,
0.1,0.1,0.005,0.005,0.564774,0.142293,,,,,,
0.1,0.005,0.001,0.1,0.564773,0.007123,,,,,,
0.1,0.05,0.01,0.01,0.564773,0.0671411,,,,,,
0.1,0.1,0.05,0.005,0.56477,0.131035,,,,,,
0.1,0.005,0.005,0.1,0.564765,0.00727347,,,,,,
0.1,0.05,0.05,0.01,0.564765,0.0725173,,,,,,
0.1,0.1,0.1,0.005,0.564765,0.134116,,,,,,
0.1,0.005,0.01,0.1,0.564756,0.00680791,,,,,,
0.1,0.05,0.1,0.01,0.564756,0.0681239,,,,,,
0.1,0.1,0.2,0.005,0.564756,0.140067,,,,,,
0.1,0.05,0.2,0.01,0.564737,0.0696529,,,,,,
0.1,0.1,0.4,0.005,0.564737,0.141883,,,,,,
0.1,0.05,0.4,0.01,0.564699,0.0699921,,,,,,
0.1,0.005,0.05,0.1,0.56468,0.007413,,,,,,
0.1,0.005,0.1,0.1,0.564586,0.00708904,,,,,,
0.1,0.005,0.2,0.1,0.564395,0.00694272,,,,,,
0.1,0.005,0.4,0.1,0.563683,0.00729242,,,,,,
0.05,0.05,0.001,0.01,0.557418,0.0711501,,,,,,
0.05,0.1,0.001,0.005,0.557418,0.134608,,,,,,
0.05,0.1,0.005,0.005,0.557418,0.141184,,,,,,
0.05,0.05,0.005,0.01,0.557417,0.0710508,,,,,,
0.05,0.1,0.01,0.005,0.557417,0.137322,,,,,,
0.05,0.005,0.001,0.1,0.557416,0.00728179,,,,,,
0.05,0.05,0.01,0.01,0.557416,0.066704,,,,,,
0.05,0.1,0.05,0.005,0.557412,0.134577,,,,,,
0.05,0.005,0.005,0.1,0.557405,0.00698992,,,,,,
0.05,0.05,0.05,0.01,0.557405,0.0692808,,,,,,
0.05,0.1,0.1,0.005,0.557405,0.140389,,,,,,
0.05,0.005,0.01,0.1,0.557393,0.00667824,,,,,,
0.05,0.05,0.1,0.01,0.557393,0.0675852,,,,,,
0.05,0.1,0.2,0.005,0.557393,0.139931,,,,,,
0.05,0.05,0.2,0.01,0.557367,0.0672712,,,,,,
0.05,0.1,0.4,0.005,0.557367,0.139206,,,,,,
0.05,0.05,0.4,0.01,0.557316,0.0685346,,,,,,
0.05,0.005,0.05,0.1,0.557291,0.00730242,,,,,,
0.05,0.005,0.1,0.1,0.557164,0.00724065,,,,,,
0.05,0.005,0.2,0.1,0.556906,0.00765244,,,,,,
0.05,0.005,0.4,0.1,0.556061,0.00711244,,,,,,
0.01,0.05,0.001,0.01,0.537743,0.0667052,,,,,,
0.01,0.1,0.001,0.005,0.537743,0.135852,,,,,,
0.01,0.1,0.005,0.005,0.537743,0.14172,,,,,,
0.01,0.05,0.005,0.01,0.537742,0.0700774,,,,,,
0.01,0.1,0.01,0.005,0.537742,0.133501,,,,,,
0.01,0.005,0.001,0.1,0.537741,0.0078463,,,,,,
0.01,0.05,0.01,0.01,0.537741,0.0671117,,,,,,
0.01,0.1,0.05,0.005,0.537736,0.141389,,,,,,
0.01,0.005,0.005,0.1,0.537729,0.00819929,,,,,,
0.01,0.05,0.05,0.01,0.537729,0.0676485,,,,,,
0.01,0.1,0.1,0.005,0.537729,0.14049,,,,,,
0.01,0.005,0.01,0.1,0.537715,0.00721203,,,,,,
0.01,0.05,0.1,0.01,0.537715,0.0683511,,,,,,
0.01,0.1,0.2,0.005,0.537715,0.141771,,,,,,
0.01,0.05,0.2,0.01,0.537687,0.0695826,,,,,,
0.01,0.1,0.4,0.005,0.537687,0.140337,,,,,,
0.01,0.05,0.4,0.01,0.537631,0.068055,,,,,,
0.01,0.005,0.05,0.1,0.537603,0.00758304,,,,,,
0.01,0.005,0.1,0.1,0.537463,0.00778042,,,,,,
0.01,0.005,0.2,0.1,0.537179,0.00774424,,,,,,
0.01,0.005,0.4,0.1,0.53628,0.00806937,,,,,,
0.5,0.01,0.2,0.1,0.447652,0.00726476,,,,,,
0.5,0.01,0.1,0.1,0.447637,0.0074078,,,,,,
0.5,0.01,0.05,0.1,0.447625,0.00720534,,,,,,
0.5,0.1,0.4,0.01,0.447623,0.0689542,,,,,,
0.5,0.1,0.2,0.01,0.447619,0.068889,,,,,,
0.5,0.2,0.4,0.005,0.447619,0.139036,,,,,,
0.5,0.01,0.01,0.1,0.447617,0.00772814,,,,,,
0.5,0.1,0.1,0.01,0.447617,0.0712403,,,,,,
0.5,0.2,0.2,0.005,0.447617,0.139902,,,,,,
0.5,0.01,0.005,0.1,0.447616,0.00779109,,,,,,
0.5,0.1,0.05,0.01,0.447616,0.0740033,,,,,,
0.5,0.2,0.1,0.005,0.447616,0.144551,,,,,,
0.5,0.01,0.001,0.1,0.447615,0.00663892,,,,,,
0.5,0.1,0.005,0.01,0.447615,0.0685508,,,,,,
0.5,0.1,0.01,0.01,0.447615,0.0704436,,,,,,
0.5,0.1,0.001,0.01,0.447615,0.0712992,,,,,,
0.5,0.2,0.05,0.005,0.447615,0.139979,,,,,,
0.5,0.2,0.001,0.005,0.447615,0.140199,,,,,,
0.5,0.2,0.005,0.005,0.447615,0.141007,,,,,,
0.5,0.2,0.01,0.005,0.447615,0.14237,,,,,,
0.5,0.01,0.4,0.1,0.44737,0.00719311,,,,,,
0.3,0.1,0.005,0.01,0.445421,0.0653865,,,,,,
0.3,0.1,0.001,0.01,0.445421,0.0725107,,,,,,
0.3,0.2,0.001,0.005,0.445421,0.140043,,,,,,
0.3,0.2,0.01,0.005,0.445421,0.14098,,,,,,
0.3,0.2,0.005,0.005,0.445421,0.14222,,,,,,
0.3,0.01,0.001,0.1,0.44542,0.00673322,,,,,,
0.3,0.1,0.01,0.01,0.44542,0.0669352,,,,,,
0.3,0.2,0.05,0.005,0.445418,0.141057,,,,,,
0.3,0.01,0.005,0.1,0.445416,0.00755545,,,,,,
0.3,0.1,0.05,0.01,0.445416,0.0683256,,,,,,
0.3,0.2,0.1,0.005,0.445416,0.140673,,,,,,
0.3,0.01,0.01,0.1,0.44541,0.00708682,,,,,,
0.3,0.1,0.1,0.01,0.44541,0.0672502,,,,,,
0.3,0.2,0.2,0.005,0.44541,0.139263,,,,,,
0.3,0.1,0.2,0.01,0.445399,0.0712036,,,,,,
0.3,0.2,0.4,0.005,0.445399,0.1437,,,,,,
0.3,0.1,0.4,0.01,0.445376,0.0678684,,,,,,
0.3,0.01,0.05,0.1,0.445365,0.00693391,,,,,,
0.3,0.01,0.1,0.1,0.44531,0.00723969,,,,,,
0.3,0.01,0.2,0.1,0.445192,0.00718155,,,,,,
0.3,0.01,0.4,0.1,0.444637,0.00694556,,,,,,
0.1,0.1,0.001,0.01,0.443216,0.0719201,,,,,,
0.1,0.2,0.001,0.005,0.443216,0.141004,,,,,,
0.1,0.2,0.005,0.005,0.443216,0.141219,,,,,,
0.1,0.1,0.005,0.01,0.443215,0.0709435,,,,,,
0.1,0.2,0.01,0.005,0.443215,0.14301,,,,,,
0.1,0.01,0.001,0.1,0.443214,0.00725586,,,,,,
0.1,0.1,0.01,0.01,0.443214,0.067961,,,,,,
0.1,0.2,0.05,0.005,0.44321,0.140137,,,,,,
0.1,0.01,0.005,0.1,0.443204,0.00746281,,,,,,
0.1,0.1,0.05,0.01,0.443204,0.0667968,,,,,,
0.1,0.2,0.1,0.005,0.443204,0.141481,,,,,,
0.1,0.01,0.01,0.1,0.443192,0.00766576,,,,,,
0.1,0.1,0.1,0.01,0.443192,0.0681138,,,,,,
0.1,0.2,0.2,0.005,0.443192,0.142292,,,,,,
0.1,0.1,0.2,0.01,0.443167,0.0685947,,,,,,
0.1,0.2,0.4,0.005,0.443167,0.143103,,,,,,
0.1,0.1,0.4,0.01,0.443118,0.0676412,,,,,,
0.1,0.01,0.05,0.1,0.443093,0.00750835,,,,,,
0.1,0.01,0.1,0.1,0.442971,0.00712456,,,,,,
0.1,0.01,0.2,0.1,0.442719,0.00715012,,,,,,
0.1,0.01,0.4,0.1,0.441893,0.00710648,,,,,,
0.05,0.1,0.001,0.01,0.440642,0.0706553,,,,,,
0.05,0.2,0.005,0.005,0.440642,0.139175,,,,,,
0.05,0.2,0.001,0.005,0.440642,0.141095,,,,,,
0.05,0.1,0.005,0.01,0.440641,0.0702836,,,,,,
0.05,0.2,0.01,0.005,0.440641,0.142236,,,,,,
0.05,0.01,0.001,0.1,0.44064,0.00711211,,,,,,
0.05,0.1,0.01,0.01,0.44064,0.0783209,,,,,,
0.05,0.2,0.05,0.005,0.440638,0.143235,,,,,,
0.05,0.01,0.005,0.1,0.440634,0.00731067,,,,,,
0.05,0.1,0.05,0.01,0.440634,0.0672281,,,,,,
0.05,0.2,0.1,0.005,0.440634,0.134759,,,,,,
0.05,0.01,0.01,0.1,0.440625,0.00710288,,,,,,
0.05,0.1,0.1,0.01,0.440625,0.0694518,,,,,,
0.05,0.2,0.2,0.005,0.440625,0.140993,,,,,,
0.05,0.1,0.2,0.01,0.440608,0.0699632,,,,,,
0.05,0.2,0.4,0.005,0.440608,0.137987,,,,,,
0.05,0.1,0.4,0.01,0.440574,0.0690748,,,,,,
0.05,0.01,0.05,0.1,0.440557,0.00735672,,,,,,
0.05,0.01,0.1,0.1,0.440474,0.00688679,,,,,,
0.05,0.01,0.2,0.1,0.4403,0.00734837,,,,,,
0.05,0.01,0.4,0.1,0.439628,0.00692882,,,,,,
0.01,0.1,0.001,0.01,0.427531,0.0712531,,,,,,
0.01,0.2,0.005,0.005,0.427531,0.140417,,,,,,
0.01,0.2,0.001,0.005,0.427531,0.141074,,,,,,
0.01,0.1,0.005,0.01,0.42753,0.0691832,,,,,,
0.01,0.2,0.01,0.005,0.42753,0.141086,,,,,,
0.01,0.01,0.001,0.1,0.427529,0.0072516,,,,,,
0.01,0.1,0.01,0.01,0.427529,0.0690639,,,,,,
0.01,0.2,0.05,0.005,0.427524,0.139482,,,,,,
0.01,0.01,0.005,0.1,0.427517,0.00708255,,,,,,
0.01,0.1,0.05,0.01,0.427517,0.0675641,,,,,,
0.01,0.2,0.1,0.005,0.427517,0.138947,,,,,,
0.01,0.01,0.01,0.1,0.427503,0.00732963,,,,,,
0.01,0.1,0.1,0.01,0.427503,0.0720171,,,,,,
0.01,0.2,0.2,0.005,0.427503,0.142096,,,,,,
0.01,0.1,0.2,0.01,0.427475,0.0674556,,,,,,
0.01,0.2,0.4,0.005,0.427475,0.141713,,,,,,
0.01,0.1,0.4,0.01,0.427418,0.0695314,,,,,,
0.01,0.01,0.05,0.1,0.427389,0.00703273,,,,,,
0.01,0.01,0.1,0.1,0.427248,0.00687545,,,,,,
0.01,0.01,0.2,0.1,0.426958,0.00715053,,,,,,
0.01,0.01,0.4,0.1,0.426054,0.00691932,,,,,,
0.05,0.4,0.001,0.005,0.351256,0.146365,,,,,,
0.05,0.2,0.001,0.01,0.351255,0.0727826,,,,,,
0.05,0.4,0.005,0.005,0.351255,0.141191,,,,,,
0.05,0.2,0.005,0.01,0.351254,0.0696474,,,,,,
0.05,0.4,0.01,0.005,0.351254,0.141456,,,,,,
0.05,0.2,0.01,0.01,0.351253,0.0702553,,,,,,
0.05,0.4,0.05,0.005,0.351249,0.142834,,,,,,
0.05,0.2,0.05,0.01,0.351242,0.0770901,,,,,,
0.05,0.4,0.1,0.005,0.351242,0.137017,,,,,,
0.05,0.2,0.1,0.01,0.351227,0.0696885,,,,,,
0.05,0.4,0.2,0.005,0.351227,0.140143,,,,,,
0.1,0.2,0.001,0.01,0.351224,0.0715424,,,,,,
0.1,0.4,0.005,0.005,0.351224,0.140381,,,,,,
0.1,0.4,0.001,0.005,0.351224,0.140928,,,,,,
0.1,0.2,0.005,0.01,0.351223,0.0676686,,,,,,
0.1,0.4,0.01,0.005,0.351223,0.136631,,,,,,
0.1,0.2,0.01,0.01,0.351222,0.0721492,,,,,,
0.1,0.4,0.05,0.005,0.351218,0.141367,,,,,,
0.1,0.2,0.05,0.01,0.351211,0.070639,,,,,,
0.1,0.4,0.1,0.005,0.351211,0.144501,,,,,,
0.05,0.2,0.2,0.01,0.351199,0.0672993,,,,,,
0.05,0.4,0.4,0.005,0.351199,0.132047,,,,,,
0.1,0.2,0.1,0.01,0.351198,0.0709456,,,,,,
0.1,0.4,0.2,0.005,0.351198,0.142277,,,,,,
0.1,0.2,0.2,0.01,0.351171,0.0707636,,,,,,
0.1,0.4,0.4,0.005,0.351171,0.136191,,,,,,
0.05,0.2,0.4,0.01,0.351143,0.0667646,,,,,,
0.1,0.2,0.4,0.01,0.351118,0.0675109,,,,,,
0.3,0.2,0.001,0.01,0.351093,0.0699348,,,,,,
0.3,0.4,0.005,0.005,0.351093,0.14182,,,,,,
0.3,0.4,0.001,0.005,0.351093,0.144537,,,,,,
0.3,0.2,0.005,0.01,0.351092,0.0671228,,,,,,
0.3,0.4,0.01,0.005,0.351092,0.13586,,,,,,
0.3,0.2,0.01,0.01,0.351091,0.0690443,,,,,,
0.3,0.4,0.05,0.005,0.351088,0.142215,,,,,,
0.3,0.2,0.05,0.01,0.351083,0.0675526,,,,,,
0.3,0.4,0.1,0.005,0.351083,0.141536,,,,,,
0.3,0.2,0.1,0.01,0.351073,0.0678688,,,,,,
0.3,0.4,0.2,0.005,0.351073,0.13982,,,,,,
0.3,0.2,0.2,0.01,0.351052,0.068773,,,,,,
0.3,0.4,0.4,0.005,0.351052,0.138752,,,,,,
0.3,0.2,0.4,0.01,0.351011,0.0703948,,,,,,
0.5,0.2,0.001,0.01,0.333096,0.0726779,,,,,,
0.5,0.4,0.001,0.005,0.333096,0.136778,,,,,,
0.5,0.4,0.005,0.005,0.333096,0.139372,,,,,,
0.5,0.2,0.005,0.01,0.333095,0.0693459,,,,,,
0.5,0.2,0.01,0.01,0.333095,0.0714852,,,,,,
0.5,0.4,0.01,0.005,0.333095,0.138078,,,,,,
0.5,0.4,0.05,0.005,0.333093,0.144055,,,,,,
0.5,0.2,0.05,0.01,0.333089,0.0678683,,,,,,
0.5,0.4,0.1,0.005,0.333089,0.137965,,,,,,
0.5,0.2,0.1,0.01,0.333082,0.0703441,,,,,,
0.5,0.4,0.2,0.005,0.333082,0.136483,,,,,,
0.5,0.2,0.2,0.01,0.333068,0.0720668,,,,,,
0.5,0.4,0.4,0.005,0.333068,0.136872,,,,,,
0.5,0.2,0.4,0.01,0.333039,0.0716996,,,,,,
0.05,0.4,0.001,0.01,0.330943,0.0670526,,,,,,
0.05,0.4,0.005,0.01,0.330942,0.0720438,,,,,,
0.05,0.4,0.01,0.01,0.330941,0.0719036,,,,,,
0.05,0.4,0.05,0.01,0.330931,0.0707389,,,,,,
0.05,0.4,0.1,0.01,0.330918,0.0680381,,,,,,
0.05,0.4,0.2,0.01,0.330893,0.0691154,,,,,,
0.05,0.4,0.4,0.01,0.330843,0.0668744,,,,,,
0.01,0.2,0.001,0.01,0.326104,0.0712027,,,,,,
0.01,0.4,0.005,0.005,0.326104,0.140027,,,,,,
0.01,0.4,0.001,0.005,0.326104,0.142657,,,,,,
0.01,0.2,0.005,0.01,0.326103,0.0669278,,,,,,
0.01,0.4,0.01,0.005,0.326103,0.140439,,,,,,
0.01,0.2,0.01,0.01,0.326102,0.0740468,,,,,,
0.01,0.4,0.05,0.005,0.326098,0.141805,,,,,,
0.01,0.2,0.05,0.01,0.326092,0.0680941,,,,,,
0.01,0.4,0.1,0.005,0.326092,0.138135,,,,,,
0.01,0.2,0.1,0.01,0.326081,0.0705979,,,,,,
0.01,0.4,0.2,0.005,0.326081,0.138448,,,,,,
0.01,0.2,0.2,0.01,0.326058,0.0678574,,,,,,
0.01,0.4,0.4,0.005,0.326058,0.130317,,,,,,
0.01,0.2,0.4,0.01,0.326011,0.0695972,,,,,,
0.01,0.4,0.001,0.01,0.317257,0.0675513,,,,,,
0.01,0.4,0.005,0.01,0.317256,0.070911,,,,,,
0.01,0.4,0.01,0.01,0.317254,0.0687434,,,,,,
0.01,0.4,0.05,0.01,0.317245,0.0677337,,,,,,
0.01,0.4,0.1,0.01,0.317233,0.0670623,,,,,,
0.01,0.4,0.2,0.01,0.317209,0.0698888,,,,,,
0.01,0.4,0.4,0.01,0.317162,0.0659121,,,,,,
0.1,0.4,0.001,0.01,0.313392,0.0682174,,,,,,
0.1,0.4,0.005,0.01,0.313391,0.0709356,,,,,,
0.1,0.4,0.01,0.01,0.31339,0.0727771,,,,,,
0.1,0.4,0.05,0.01,0.313381,0.0688914,,,,,,
0.1,0.4,0.1,0.01,0.31337,0.0656458,,,,,,
0.1,0.4,0.2,0.01,0.313347,0.0683413,,,,,,
0.1,0.4,0.4,0.01,0.313301,0.0701004,,,,,,
0.3,0.4,0.001,0.01,0.296743,0.0689139,,,,,,
0.3,0.4,0.005,0.01,0.296743,0.0693458,,,,,,
0.3,0.4,0.01,0.01,0.296742,0.0682669,,,,,,
0.3,0.4,0.05,0.01,0.296736,0.0662732,,,,,,
0.3,0.4,0.1,0.01,0.296729,0.066622,,,,,,
0.3,0.4,0.2,0.01,0.296714,0.071335,,,,,,
0.3,0.4,0.4,0.01,0.296685,0.0701321,,,,,,
0.5,0.4,0.005,0.01,0.280065,0.0693845,,,,,,
0.5,0.4,0.001,0.01,0.280065,0.071532,,,,,,
0.5,0.4,0.01,0.01,0.280065,0.074075,,,,,,
0.5,0.4,0.05,0.01,0.280062,0.0671215,,,,,,
0.5,0.4,0.1,0.01,0.280059,0.0716732,,,,,,
0.5,0.4,0.2,0.01,0.280053,0.0722179,,,,,,
0.5,0.4,0.4,0.01,0.28004,0.0692366,,,,,,
0.01,0.05,0.001,0.1,0.270681,0.00733134,,,,,,
0.01,0.05,0.005,0.1,0.270673,0.00806015,,,,,,
0.01,0.05,0.01,0.1,0.270664,0.00793012,,,,,,
0.01,0.05,0.05,0.1,0.270588,0.00688217,,,,,,
0.01,0.05,0.1,0.1,0.270494,0.00672023,,,,,,
0.01,0.05,0.2,0.1,0.270274,0.00714443,,,,,,
0.01,0.05,0.4,0.1,0.269556,0.00720041,,,,,,
0.1,0.05,0.001,0.1,0.263628,0.00736922,,,,,,
0.1,0.05,0.005,0.1,0.263621,0.00702136,,,,,,
0.1,0.05,0.01,0.1,0.263612,0.00670947,,,,,,
0.1,0.05,0.05,0.1,0.263542,0.00696224,,,,,,
0.1,0.05,0.1,0.1,0.263455,0.00684066,,,,,,
0.1,0.05,0.2,0.1,0.263248,0.00729706,,,,,,
