influence,beta,gamma,dt,avgI,cost(s),,,influence,beta,gamma,dt
0.01,0.001,0.005,0.1,0.783104,0.0067243,,,,,,
0.01,0.01,0.05,0.01,0.783104,0.0693689,,,,,,
0.01,0.001,0.01,0.1,0.783087,0.00662324,,,,,,
0.01,0.01,0.1,0.01,0.783087,0.0671833,,,,,,
0.01,0.01,0.2,0.01,0.783055,0.0677951,,,,,,
0.1,0.001,0.01,0.001,0.783034,0.674722,,,,,,
0.01,0.001,0.001,0.001,0.783034,0.679567,,,,,,
0.05,0.001,0.005,0.001,0.783034,0.685477,,,,,,
0.01,0.001,0.005,0.001,0.783034,0.69424,,,,,,
0.1,0.001,0.001,0.001,0.783034,0.695812,,,,,,
0.1,0.001,0.005,0.001,0.783034,0.696588,,,,,,
0.05,0.001,0.001,0.001,0.783034,0.698322,,,,,,
0.05,0.001,0.01,0.001,0.783034,0.698996,,,,,,
0.01,0.001,0.01,0.001,0.783034,0.700482,,,,,,
0.5,0.001,0.01,0.001,0.783033,0.683225,,,,,,
0.3,0.001,0.01,0.001,0.783033,0.683911,,,,,,
0.5,0.001,0.005,0.001,0.783033,0.693139,,,,,,
0.5,0.001,0.001,0.001,0.783033,0.698459,,,,,,
0.3,0.001,0.005,0.001,0.783033,0.698835,,,,,,
0.3,0.001,0.001,0.001,0.783033,0.700225,,,,,,
0.01,0.001,0.05,0.001,0.783032,0.676708,,,,,,
0.05,0.001,0.05,0.001,0.783032,0.680982,,,,,,
0.3,0.001,0.05,0.001,0.783032,0.690629,,,,,,
0.1,0.001,0.05,0.001,0.783032,0.697468,,,,,,
0.5,0.001,0.05,0.001,0.783031,0.688923,,,,,,
0.1,0.001,0.1,0.001,0.783031,0.695462,,,,,,
0.01,0.001,0.1,0.001,0.783031,0.698362,,,,,,
0.05,0.001,0.1,0.001,0.783031,0.700921,,,,,,
0.3,0.001,0.1,0.001,0.78303,0.695758,,,,,,
0.5,0.001,0.1,0.001,0.78303,0.699479,,,,,,
0.05,0.001,0.001,0.005,0.783027,0.138522,,,,,,
0.01,0.001,0.001,0.005,0.783027,0.142633,,,,,,
0.01,0.005,0.01,0.001,0.783027,0.668913,,,,,,
0.05,0.005,0.001,0.001,0.783027,0.686028,,,,,,
0.01,0.005,0.001,0.001,0.783027,0.691933,,,,,,
0.01,0.005,0.005,0.001,0.783027,0.694138,,,,,,
0.05,0.001,0.2,0.001,0.783027,0.694603,,,,,,
0.5,0.001,0.2,0.001,0.783027,0.695601,,,,,,
0.05,0.005,0.005,0.001,0.783027,0.696757,,,,,,
0.1,0.001,0.2,0.001,0.783027,0.697764,,,,,,
0.01,0.001,0.2,0.001,0.783027,0.700825,,,,,,
0.3,0.001,0.2,0.001,0.783027,0.701356,,,,,,
0.1,0.001,0.001,0.005,0.783026,0.137377,,,,,,
0.01,0.001,0.005,0.005,0.783026,0.139406,,,,,,
0.05,0.001,0.005,0.005,0.783026,0.140027,,,,,,
0.1,0.001,0.005,0.005,0.783026,0.140744,,,,,,
0.01,0.001,0.01,0.005,0.783026,0.141256,,,,,,
0.1,0.005,0.01,0.001,0.783026,0.661872,,,,,,
0.01,0.005,0.05,0.001,0.783026,0.662787,,,,,,
0.1,0.005,0.001,0.001,0.783026,0.681531,,,,,,
0.05,0.005,0.01,0.001,0.783026,0.690738,,,,,,
0.1,0.005,0.005,0.001,0.783026,0.694805,,,,,,
0.1,0.001,0.01,0.005,0.783025,0.132722,,,,,,
0.05,0.001,0.01,0.005,0.783025,0.134544,,,,,,
