Process,Time,S,I,R
1,6.6,0.0808622,0.271229,0.647908
1,6.8,0.079291,0.267414,0.653295
1,7,0.0777776,0.263617,0.658605
1,7.2,0.0763195,0.259841,0.66384
1,7.4,0.0749142,0.256087,0.668999
1,7.6,0.0735594,0.252357,0.674083
1,7.8,0.0722528,0.248654,0.679093
1,8,0.0709924,0.244978,0.684029
1,8.2,0.0697762,0.241331,0.688892
1,8.4,0.0686023,0.237715,0.693683
1,8.6,0.0674689,0.23413,0.698401
1,8.8,0.0663743,0.230578,0.703048
1,9,0.0653169,0.227059,0.707624
1,9.2,0.0642952,0.223574,0.712131
1,9.4,0.0633077,0.220125,0.716568
1,9.6,0.062353,0.216711,0.720936
1,9.8,0.0614297,0.213334,0.725236
1,10,0.0605367,0.209994,0.729469
1,10.2,0.0596728,0.206691,0.733636
1,10.4,0.0588366,0.203426,0.737737
1,10.6,0.0580273,0.200199,0.741773
1,10.8,0.0572437,0.197011,0.745745
1,11,0.0564849,0.193861,0.749654
1,11.2,0.0557499,0.19075,0.7535
1,11.4,0.0550377,0.187678,0.757284
1,11.6,0.0543476,0.184645,0.761007
1,11.8,0.0536787,0.181651,0.76467
1,12,0.0530302,0.178696,0.768274
1,12.2,0.0524013,0.17578,0.771818
1,12.4,0.0517914,0.172903,0.775305
1,12.6,0.0511998,0.170066,0.778735
1,12.8,0.0506257,0.167266,0.782108
1,13,0.0500686,0.164506,0.785426
1,13.2,0.0495278,0.161784,0.788688
1,13.4,0.0490028,0.1591,0.791897
1,13.6,0.048493,0.156454,0.795053
1,13.8,0.0479979,0.153846,0.798156
1,14,0.047517,0.151276,0.801207
1,14.2,0.0470498,0.148743,0.804207
1,14.4,0.0465958,0.146248,0.807157
1,14.6,0.0461545,0.143789,0.810057
1,14.8,0.0457256,0.141366,0.812908
1,15,0.0453086,0.13898,0.815712
1,15.2,0.0449031,0.136629,0.818468
1,15.4,0.0445088,0.134314,0.821177
1,15.6,0.0441252,0.132034,0.823841
1,15.8,0.0437521,0.129789,0.826459
1,16,0.043389,0.127579,0.829032
1,16.2,0.0430357,0.125402,0.831562
1,16.4,0.0426919,0.123259,0.834049
1,16.6,0.0423571,0.12115,0.836493
1,16.8,0.0420313,0.119074,0.838895
1,17,0.041714,0.11703,0.841256
1,17.2,0.041405,0.115019,0.843576
1,17.4,0.0411041,0.113039,0.845857
1,17.6,0.040811,0.111091,0.848098
1,17.8,0.0405254,0.109174,0.850301
1,18,0.0402472,0.107288,0.852465
1,18.2,0.0399761,0.105432,0.854592
1,18.4,0.0397118,0.103606,0.856683
1,18.6,0.0394543,0.101809,0.858737
1,18.8,0.0392032,0.100042,0.860755
1,19,0.0389584,0.098303,0.862739
1,19.2,0.0387198,0.0965928,0.864687
1,19.4,0.0384871,0.0949105,0.866602
1,19.6,0.0382601,0.0932559,0.868484
1,19.8,0.0380387,0.0916285,0.870333
