Susceptible,Infected,Recovered,Time
0.004256999999999955,0.002626,0.006881999999999999,0.1
0.004786999999999986,0.0023196999999999975,0.007107000000000002,0.2
0.005350000000000077,0.001991400000000001,0.007341500000000001,0.3
0.005947999999999953,0.0016406999999999984,0.0075890000000000055,0.4
0.00658000000000003,0.0012659000000000004,0.007847199999999999,0.5
0.00724899999999995,0.0008686000000000006,0.008117799999999994,0.6
0.007955000000000045,0.00044730000000000117,0.008402399999999997,0.7
0.008699000000000012,2.9999999999821836e-07,0.008700699999999999,0.8
0.009482999999999908,0.00047080000000000385,0.009012399999999997,0.9
0.010307999999999984,0.0009677000000000019,0.009340099999999997,1.0
0.011172999999999988,0.0014909999999999993,0.0096826,1.1
0.012081000000000008,0.0020404000000000047,0.0100405,1.2
0.01303399999999999,0.002617300000000003,0.010416700000000001,1.3
0.014031000000000016,0.003221599999999998,0.010808699999999997,1.4
0.015074000000000032,0.0038547999999999985,0.0112195,1.5
0.016166000000000014,0.0045166000000000026,0.011649699999999999,1.6
0.017305999999999933,0.005207700000000003,0.0120981,1.7
0.018495999999999957,0.005929700000000003,0.012566599999999997,1.8
0.019738000000000033,0.006681300000000001,0.013056900000000003,1.9
0.02103299999999997,0.007465100000000002,0.013567799999999998,2.0
0.022380999999999984,0.008279800000000004,0.014101200000000001,2.1
0.023784999999999945,0.009127099999999999,0.014657900000000001,2.2
0.025245000000000073,0.010007500000000003,0.015237799999999996,2.3
0.02676400000000001,0.010920699999999998,0.015842799999999997,2.4
0.02834099999999995,0.011868299999999998,0.016472699999999993,2.5
0.02997800000000006,0.012849800000000001,0.017128399999999995,2.6
0.031678000000000095,0.013866799999999999,0.017811799999999996,2.7
0.033441000000000054,0.014918799999999996,0.018521900000000008,2.8
0.03526699999999994,0.0160063,0.019260600000000003,2.9
0.03715899999999994,0.0171298,0.020028700000000003,3.0
0.03911700000000007,0.0182897,0.0208273,3.1
0.04114399999999996,0.019486299999999998,0.021657300000000004,3.2
0.043238999999999916,0.020720000000000002,0.022518700000000003,3.3
0.04540200000000005,0.0219911,0.023412300000000004,3.4
0.04763800000000007,0.0232987,0.024339300000000008,3.5
0.049946000000000046,0.024644199999999998,0.025301499999999998,3.6
0.052325999999999984,0.0260265,0.026299000000000003,3.7
0.05477900000000002,0.027446799999999993,0.0273317,3.8
0.05730700000000011,0.028904100000000002,0.028402600000000007,3.9
0.05990899999999999,0.0303991,0.029510600000000005,4.0
0.06258699999999995,0.0319298,0.0306569,4.1
0.06534099999999998,0.03349799999999999,0.031843199999999995,4.2
0.06817200000000001,0.03510219999999999,0.0330696,4.3
0.071079,0.036741199999999995,0.034338099999999996,4.4
0.07406500000000005,0.03841630000000001,0.03564850000000001,4.5
0.07712600000000003,0.0401251,0.0370009,4.6
0.08026599999999995,0.0418677,0.0383982,4.7
0.08348299999999997,0.043643,0.039839200000000005,4.8
0.08677600000000008,0.045451000000000005,0.0413249,4.9
0.09014699999999998,0.04729,0.042858,5.0
0.09359399999999996,0.049157,0.044437,5.1
0.09711700000000001,0.051053,0.046064,5.2
0.10071600000000003,0.052976999999999996,0.047737999999999996,5.3
0.10438700000000001,0.054926,0.049461000000000005,5.4
0.10813299999999992,0.056899000000000005,0.051234,5.5
0.11195100000000002,0.05889399999999999,0.05305700000000001,5.6
0.11583999999999994,0.060910000000000006,0.05493000000000001,5.7
0.11979800000000007,0.06294399999999999,0.056854,5.8
0.12382499999999996,0.06499400000000001,0.05882999999999999,5.9
0.1279180000000001,0.067059,0.060857999999999995,6.0
0.13207599999999997,0.069137,0.062939,6.1
0.13629599999999997,0.07122399999999998,0.06507199999999999,6.2
0.14057600000000003,0.073319,0.06725700000000001,6.3
0.14491500000000002,0.07541800000000001,0.069497,6.4
0.14931000000000005,0.07752000000000002,0.07179,6.5
0.15375700000000003,0.079621,0.074136,6.6
0.15825600000000006,0.08172,0.076536,6.7
0.16280099999999997,0.08381200000000001,0.07898899999999999,6.8
0.16739099999999996,0.085895,0.081496,6.9
0.17202300000000004,0.087965,0.08405800000000001,7.0
0.17669400000000002,0.09002199999999999,0.08667200000000001,7.1
0.18139899999999998,0.09205899999999999,0.089341,7.2
0.186137,0.09407499999999999,0.092061,7.3
0.1909019999999999,0.096067,0.09483400000000002,7.4
0.19569000000000003,0.098031,0.097661,7.5
0.20050099999999993,0.099962,0.100538,7.6
0.20532799999999995,0.10186,0.10346700000000002,7.7
0.2101670000000001,0.103721,0.106447,7.8
0.21501599999999998,0.10554000000000001,0.109476,7.9
0.21987,0.107315,0.112555,8.0
0.22472500000000006,0.109041,0.115683,8.1
0.22957499999999997,0.11071800000000001,0.118858,8.2
0.23442000000000007,0.11234099999999998,0.12208,8.3
0.23925299999999994,0.113905,0.125347,8.4
0.2440690000000001,0.11541,0.128659,8.5
0.24886600000000003,0.116851,0.132015,8.6
0.25364,0.11822599999999998,0.135413,8.7
0.258385,0.11953199999999999,0.138853,8.8
0.26309899999999997,0.120767,0.142332,8.9
0.267776,0.12192599999999999,0.145849,9.0
0.272412,0.12300799999999999,0.14940399999999998,9.1
0.27700500000000006,0.12401100000000001,0.15299400000000002,9.2
0.2815500000000001,0.124931,0.156619,9.3
0.2860440000000001,0.12576800000000002,0.16027600000000003,9.4
0.29048100000000004,0.126517,0.16396400000000003,9.5
0.294861,0.12718000000000002,0.16768100000000002,9.6
0.29917699999999997,0.127751,0.17142600000000002,9.7
0.303427,0.12823,0.175197,9.8
0.30760899999999997,0.12861699999999998,0.17899199999999998,9.9
0.311717,0.12891000000000002,0.18280900000000003,10.0
