Susceptible,Infected,Recovered,Time
0.004731000000000041,0.0021539999999999997,0.006885000000000002,0.1
0.005749000000000004,0.0013666999999999985,0.007116000000000004,0.2
0.006813999999999987,0.0005493999999999985,0.007363500000000002,0.3
0.007925999999999989,0.00029929999999999887,0.007627000000000002,0.4
0.009086999999999956,0.0011801,0.007907200000000003,0.5
0.01029800000000003,0.002092400000000001,0.0082058,0.6
0.011560000000000015,0.0030386999999999983,0.0085224,0.7
0.01287499999999997,0.004017699999999999,0.008857699999999996,0.8
0.014243999999999923,0.005030800000000002,0.009212399999999996,0.9
0.015666999999999986,0.006078699999999999,0.009588099999999995,1.0
0.017147000000000023,0.007162000000000002,0.009984599999999996,1.1
0.018684000000000034,0.008281400000000001,0.010402499999999995,1.2
0.020279999999999965,0.009437300000000003,0.010843699999999998,1.3
0.021936999999999984,0.010629599999999996,0.011307699999999997,1.4
0.02365499999999998,0.0118598,0.0117955,1.5
0.025437000000000043,0.013129599999999998,0.012307699999999998,1.6
0.027282999999999946,0.014437700000000001,0.0128461,1.7
0.02919499999999997,0.015785700000000003,0.013410600000000002,1.8
0.031175000000000064,0.0171743,0.014001899999999998,1.9
0.03322499999999995,0.018603100000000004,0.014620799999999996,2.0
0.03534399999999993,0.020074800000000004,0.015269200000000004,2.1
0.037536000000000014,0.0215891,0.0159469,2.2
0.03980000000000006,0.023145500000000003,0.016654799999999997,2.3
0.042140999999999984,0.0247457,0.017394799999999995,2.4
0.04455699999999996,0.026391299999999996,0.018165699999999993,2.5
0.047051000000000065,0.028080800000000003,0.018971399999999992,2.6
0.04962600000000006,0.029815799999999996,0.019809799999999995,2.7
0.05227999999999999,0.031596799999999994,0.020682900000000004,2.8
0.05501699999999998,0.033424300000000004,0.021592600000000003,2.9
0.057837999999999945,0.0352988,0.022538700000000002,3.0
0.0607430000000001,0.037219699999999994,0.023523299999999997,3.1
0.06373499999999999,0.039189299999999996,0.024545300000000006,3.2
0.06681499999999996,0.041207,0.025607700000000004,3.3
0.06998199999999999,0.0432721,0.026710300000000006,3.4
0.073241,0.0453867,0.027854300000000005,3.5
0.07659099999999996,0.0475492,0.029041499999999998,3.6
0.08003300000000002,0.0497605,0.030272,3.7
0.08356800000000009,0.05202079999999999,0.0315467,3.8
0.08719800000000011,0.0543311,0.0328666,3.9
0.09092299999999998,0.056689100000000006,0.0342336,4.0
0.09474399999999994,0.059095800000000004,0.0356479,4.1
0.098661,0.061550999999999995,0.037110199999999996,4.2
0.10267599999999999,0.06405419999999999,0.0386216,4.3
0.10678899999999991,0.0666052,0.0401841,4.4
0.11099999999999999,0.06920230000000001,0.0417975,4.5
0.11531000000000002,0.0718471,0.043462900000000006,4.6
0.11971899999999991,0.0745377,0.045181200000000005,4.7
0.124228,0.077273,0.0469542,4.8
0.128834,0.08005200000000001,0.048781899999999996,4.9
0.13354100000000002,0.082876,0.050665,5.0
0.13834599999999997,0.08574,0.052605,5.1
0.14324899999999996,0.088646,0.054603000000000006,5.2
0.1482500000000001,0.091591,0.05665799999999999,5.3
0.15334800000000004,0.094575,0.058773000000000006,5.4
0.15854199999999996,0.097595,0.060947,5.5
0.16383199999999998,0.10065099999999999,0.063183,5.6
0.16921799999999998,0.103739,0.06547900000000001,5.7
0.17469500000000004,0.106858,0.06783700000000001,5.8
0.18026399999999998,0.11000700000000001,0.07025699999999999,5.9
0.1859240000000001,0.11318299999999999,0.072741,6.0
0.19167199999999995,0.11638400000000002,0.075288,6.1
0.19750800000000002,0.11960799999999999,0.077899,6.2
0.20342700000000002,0.12285199999999999,0.08057500000000001,6.3
0.20943,0.126115,0.083315,6.4
0.21551300000000007,0.129392,0.086121,6.5
0.221673,0.132681,0.08899199999999999,6.6
0.22790900000000003,0.13598100000000002,0.09192800000000001,6.7
0.23421799999999993,0.13928700000000002,0.09493099999999999,6.8
0.240595,0.142597,0.097998,6.9
0.24704000000000004,0.145907,0.101133,7.0
0.25355000000000005,0.149216,0.10433300000000001,7.1
0.26011799999999996,0.152519,0.1076,7.2
0.266745,0.15581299999999998,0.110932,7.3
0.2734249999999999,0.15909600000000002,0.11432900000000001,7.4
0.280154,0.162363,0.11779200000000001,7.5
0.2869299999999999,0.165611,0.12131900000000001,7.6
0.29374999999999996,0.16883800000000002,0.12491100000000001,7.7
0.30060700000000007,0.17204,0.12856800000000002,7.8
0.3075,0.175213,0.132287,7.9
0.314423,0.17835399999999998,0.136069,8.0
0.32137400000000005,0.18145899999999998,0.13991499999999998,8.1
0.328346,0.18452600000000002,0.143821,8.2
0.335338,0.187552,0.147788,8.3
0.34234599999999993,0.190531,0.151814,8.4
0.34936200000000006,0.193463,0.155899,8.5
0.356386,0.196342,0.160043,8.6
0.36341199999999996,0.19916699999999998,0.164243,8.7
0.37043500000000007,0.20193499999999998,0.1685,8.8
0.37745300000000004,0.20464300000000002,0.17281,8.9
0.38446100000000005,0.207287,0.177174,9.0
0.39145399999999997,0.209864,0.18158999999999997,9.1
0.39843000000000006,0.212374,0.186056,9.2
0.40538300000000005,0.214811,0.19057200000000002,9.3
0.4123110000000001,0.217176,0.19513500000000003,9.4
0.419209,0.219464,0.199745,9.5
0.426074,0.221675,0.204399,9.6
0.43290100000000004,0.223804,0.209097,9.7
0.439689,0.22585200000000002,0.213836,9.8
0.446433,0.227817,0.218615,9.9
0.453129,0.229697,0.22343300000000002,10.0
